quartier_id,quartier_name,commune_name,source,source_url,collected_at
https://databrussels.be/id/monitoringdistrict/120,CUREGHEM BARA,Anderlecht,ibsa,https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/quartiers-du-monitoring-des-quartiers-ibsa-perspective-rbc/exports/csv,2026-07-01T13:02:47+00:00
https://databrussels.be/id/monitoringdistrict/121,GARE DU MIDI,Saint-Gilles,ibsa,https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/quartiers-du-monitoring-des-quartiers-ibsa-perspective-rbc/exports/csv,2026-07-01T13:02:47+00:00
https://databrussels.be/id/monitoringdistrict/122,KALEVOET - MOENSBERG,Uccle,ibsa,https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/quartiers-du-monitoring-des-quartiers-ibsa-perspective-rbc/exports/csv,2026-07-01T13:02:47+00:00
https://databrussels.be/id/monitoringdistrict/123,VIEUX LAEKEN OUEST,Bruxelles,ibsa,https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/quartiers-du-monitoring-des-quartiers-ibsa-perspective-rbc/exports/csv,2026-07-01T13:02:47+00:00
https://databrussels.be/id/monitoringdistrict/124,SAINT-JOSSE CENTRE,Saint-Josse-ten-Noode,ibsa,https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/quartiers-du-monitoring-des-quartiers-ibsa-perspective-rbc/exports/csv,2026-07-01T13:02:47+00:00
https://databrussels.be/id/monitoringdistrict/125,DAILLY,Schaerbeek,ibsa,https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/quartiers-du-monitoring-des-quartiers-ibsa-perspective-rbc/exports/csv,2026-07-01T13:02:47+00:00
https://databrussels.be/id/monitoringdistrict/126,STALINGRAD,Bruxelles,ibsa,https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/quartiers-du-monitoring-des-quartiers-ibsa-perspective-rbc/exports/csv,2026-07-01T13:02:47+00:00
https://databrussels.be/id/monitoringdistrict/127,MOLENBEEK HISTORIQUE,Molenbeek-Saint-Jean,ibsa,https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/quartiers-du-monitoring-des-quartiers-ibsa-perspective-rbc/exports/csv,2026-07-01T13:02:47+00:00
https://databrussels.be/id/monitoringdistrict/128,KOEKELBERG,Molenbeek-Saint-Jean,ibsa,https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/quartiers-du-monitoring-des-quartiers-ibsa-perspective-rbc/exports/csv,2026-07-01T13:02:47+00:00
https://databrussels.be/id/monitoringdistrict/129,KORENBEEK,Anderlecht,ibsa,https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/quartiers-du-monitoring-des-quartiers-ibsa-perspective-rbc/exports/csv,2026-07-01T13:02:47+00:00
https://databrussels.be/id/monitoringdistrict/13,PARC ELISABETH,Molenbeek-Saint-Jean,ibsa,https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/quartiers-du-monitoring-des-quartiers-ibsa-perspective-rbc/exports/csv,2026-07-01T13:02:47+00:00
https://databrussels.be/id/monitoringdistrict/130,POTAARDE,Anderlecht,ibsa,https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/quartiers-du-monitoring-des-quartiers-ibsa-perspective-rbc/exports/csv,2026-07-01T13:02:47+00:00
https://databrussels.be/id/monitoringdistrict/131,VILLAS DE GANSHOREN,Molenbeek-Saint-Jean,ibsa,https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/quartiers-du-monitoring-des-quartiers-ibsa-perspective-rbc/exports/csv,2026-07-01T13:02:47+00:00
https://databrussels.be/id/monitoringdistrict/132,REYERS,Schaerbeek,ibsa,https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/quartiers-du-monitoring-des-quartiers-ibsa-perspective-rbc/exports/csv,2026-07-01T13:02:47+00:00
https://databrussels.be/id/monitoringdistrict/133,GRIBAUMONT,Saint-Josse-ten-Noode,ibsa,https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/quartiers-du-monitoring-des-quartiers-ibsa-perspective-rbc/exports/csv,2026-07-01T13:02:47+00:00
https://databrussels.be/id/monitoringdistrict/134,BOULEVARD DE LA WOLUWE,Saint-Josse-ten-Noode,ibsa,https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/quartiers-du-monitoring-des-quartiers-ibsa-perspective-rbc/exports/csv,2026-07-01T13:02:47+00:00
https://databrussels.be/id/monitoringdistrict/135,STOCKEL,Saint-Josse-ten-Noode,ibsa,https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/quartiers-du-monitoring-des-quartiers-ibsa-perspective-rbc/exports/csv,2026-07-01T13:02:47+00:00
https://databrussels.be/id/monitoringdistrict/136,JOSAPHAT,Schaerbeek,ibsa,https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/quartiers-du-monitoring-des-quartiers-ibsa-perspective-rbc/exports/csv,2026-07-01T13:02:47+00:00
https://databrussels.be/id/monitoringdistrict/137,PLASKY,Schaerbeek,ibsa,https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/quartiers-du-monitoring-des-quartiers-ibsa-perspective-rbc/exports/csv,2026-07-01T13:02:47+00:00
https://databrussels.be/id/monitoringdistrict/138,SQUARES,Bruxelles,ibsa,https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/quartiers-du-monitoring-des-quartiers-ibsa-perspective-rbc/exports/csv,2026-07-01T13:02:47+00:00
